[2024-11-25T00:00:02.578+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-25T00:00:02.598+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task scheduled__2024-11-24T00:00:00+00:00 [queued]>
[2024-11-25T00:00:02.607+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task scheduled__2024-11-24T00:00:00+00:00 [queued]>
[2024-11-25T00:00:02.608+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-25T00:00:02.624+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): extract_usa_spending_data_task> on 2024-11-24 00:00:00+00:00
[2024-11-25T00:00:02.642+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1607) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-25T00:00:02.645+0000] {standard_task_runner.py:72} INFO - Started process 1615 to run task
[2024-11-25T00:00:02.642+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_usa_spending', 'extract_usa_spending_data_task', 'scheduled__2024-11-24T00:00:00+00:00', '--job-id', '238', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmpocqy4myb']
[2024-11-25T00:00:02.646+0000] {standard_task_runner.py:105} INFO - Job 238: Subtask extract_usa_spending_data_task
[2024-11-25T00:00:02.706+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_usa_spending.extract_usa_spending_data_task scheduled__2024-11-24T00:00:00+00:00 [running]> on host c38f41c7f3f7
[2024-11-25T00:01:26.400+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-DC-72-0001_8620 (Request 24/507)
[2024-11-25T00:01:28.728+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-DC-72-0001_8620 (Request 25/507)
[2024-11-25T00:01:31.069+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-DC-72-0001_8620 (Request 26/507)
[2024-11-25T00:01:33.432+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-DN-72-0001_8620 (Request 27/507)
[2024-11-25T00:01:35.750+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0007_8620 (Request 28/507)
[2024-11-25T00:01:38.070+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0007_8620 (Request 29/507)
[2024-11-25T00:01:40.398+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0007_8620 (Request 30/507)
[2024-11-25T00:01:42.732+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0007_8620 (Request 31/507)
[2024-11-25T00:01:45.077+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-05-DJ-72-0001_8620 (Request 32/507)
[2024-11-25T00:01:47.424+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0007_8620 (Request 33/507)
[2024-11-25T00:01:49.739+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0007_8620 (Request 34/507)
[2024-11-25T00:01:52.126+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0007_8620 (Request 35/507)
[2024-11-25T00:01:54.488+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0007_8620 (Request 36/507)
[2024-11-25T00:01:56.868+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0007_8620 (Request 37/507)
[2024-11-25T00:01:59.214+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0007_8620 (Request 38/507)
[2024-11-25T00:02:01.545+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0007_8620 (Request 39/507)
[2024-11-25T00:02:03.975+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0007_8620 (Request 40/507)
[2024-11-25T00:02:06.327+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0007_8620 (Request 41/507)
[2024-11-25T00:02:08.657+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0007_8620 (Request 42/507)
[2024-11-25T00:02:10.983+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0007_8620 (Request 43/507)
[2024-11-25T00:02:13.322+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0007_8620 (Request 44/507)
[2024-11-25T00:02:15.650+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0007_8620 (Request 45/507)
[2024-11-25T00:02:17.988+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0007_8620 (Request 46/507)
[2024-11-25T00:02:20.360+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0003_8620 (Request 47/507)
[2024-11-25T00:02:22.710+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0003_8620 (Request 48/507)
[2024-11-25T00:02:25.063+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0004_8620 (Request 49/507)
[2024-11-25T00:02:27.390+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0003_8620 (Request 50/507)
[2024-11-25T00:02:30.300+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0003_8620 (Request 51/507)
[2024-11-25T00:02:32.666+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0004_8620 (Request 52/507)
[2024-11-25T00:02:35.009+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0005_8620 (Request 53/507)
[2024-11-25T00:02:37.766+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0003_8620 (Request 54/507)
[2024-11-25T00:02:40.100+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0004_8620 (Request 55/507)
[2024-11-25T00:02:42.452+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0004_8620 (Request 56/507)
[2024-11-25T00:02:44.783+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0005_8620 (Request 57/507)
[2024-11-25T00:02:47.140+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0004_8620 (Request 58/507)
[2024-11-25T00:02:49.705+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0001_8620 (Request 59/507)
[2024-11-25T00:02:52.062+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0005_8620 (Request 60/507)
[2024-11-25T00:02:54.389+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0005_8620 (Request 61/507)
[2024-11-25T00:02:56.718+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0001_8620 (Request 62/507)
[2024-11-25T00:02:59.050+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0005_8620 (Request 63/507)
[2024-11-25T00:03:01.375+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0001_8620 (Request 64/507)
[2024-11-25T00:03:03.746+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0001_8620 (Request 65/507)
[2024-11-25T00:03:06.347+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0002_8620 (Request 66/507)
[2024-11-25T00:03:08.686+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0002_8620 (Request 67/507)
[2024-11-25T00:03:11.041+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0009_8620 (Request 68/507)
[2024-11-25T00:03:13.405+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0003_8620 (Request 69/507)
[2024-11-25T00:03:15.727+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0001_8620 (Request 70/507)
[2024-11-25T00:03:18.080+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0009_8620 (Request 71/507)
[2024-11-25T00:03:20.396+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0002_8620 (Request 72/507)
[2024-11-25T00:03:22.778+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0002_8620 (Request 73/507)
[2024-11-25T00:03:25.118+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0003_8620 (Request 74/507)
[2024-11-25T00:03:27.458+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0009_8620 (Request 75/507)
[2024-11-25T00:03:30.070+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0008_8620 (Request 76/507)
[2024-11-25T00:03:32.401+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0009_8620 (Request 77/507)
[2024-11-25T00:03:34.720+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0004_8620 (Request 78/507)
[2024-11-25T00:03:37.084+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0003_8620 (Request 79/507)
[2024-11-25T00:03:39.424+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0002_8620 (Request 80/507)
[2024-11-25T00:03:41.785+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0004_8620 (Request 81/507)
[2024-11-25T00:03:44.124+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0003_8620 (Request 82/507)
[2024-11-25T00:03:46.467+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0003_8620 (Request 83/507)
[2024-11-25T00:03:48.864+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0003_8620 (Request 84/507)
[2024-11-25T00:03:51.206+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0003_8620 (Request 85/507)
[2024-11-25T00:03:53.534+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0005_8620 (Request 86/507)
[2024-11-25T00:03:55.880+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0003_8620 (Request 87/507)
[2024-11-25T00:03:58.207+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0003_8620 (Request 88/507)
[2024-11-25T00:04:00.552+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0004_8620 (Request 89/507)
[2024-11-25T00:04:02.889+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0003_8620 (Request 90/507)
[2024-11-25T00:04:05.248+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0004_8620 (Request 91/507)
[2024-11-25T00:04:07.575+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0003_8620 (Request 92/507)
[2024-11-25T00:04:09.899+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0003_8620 (Request 93/507)
[2024-11-25T00:04:12.284+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0003_8620 (Request 94/507)
[2024-11-25T00:04:14.737+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0004_8620 (Request 95/507)
[2024-11-25T00:04:17.099+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0008_8620 (Request 96/507)
[2024-11-25T00:04:19.708+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0017_8620 (Request 97/507)
[2024-11-25T00:04:22.054+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0011_8620 (Request 98/507)
[2024-11-25T00:04:24.377+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0004_8620 (Request 99/507)
[2024-11-25T00:04:26.699+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0004_8620 (Request 100/507)
[2024-11-25T00:04:29.020+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0004_8620 (Request 101/507)
[2024-11-25T00:04:31.347+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0004_8620 (Request 102/507)
[2024-11-25T00:04:33.709+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0004_8620 (Request 103/507)
[2024-11-25T00:04:36.077+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0005_8620 (Request 104/507)
[2024-11-25T00:04:38.637+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0004_8620 (Request 105/507)
[2024-11-25T00:04:40.943+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0004_8620 (Request 106/507)
[2024-11-25T00:04:43.302+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0004_8620 (Request 107/507)
[2024-11-25T00:04:45.955+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0008_8620 (Request 108/507)
[2024-11-25T00:04:48.311+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0008_8620 (Request 109/507)
[2024-11-25T00:04:50.638+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0014_8620 (Request 110/507)
[2024-11-25T00:04:52.984+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0006_8620 (Request 111/507)
[2024-11-25T00:04:55.360+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0020_8620 (Request 112/507)
[2024-11-25T00:04:57.691+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0013_8620 (Request 113/507)
[2024-11-25T00:05:00.045+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0011_8620 (Request 114/507)
[2024-11-25T00:05:02.400+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0001_8620 (Request 115/507)
[2024-11-25T00:05:04.789+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0005_8620 (Request 116/507)
[2024-11-25T00:05:07.156+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0005_8620 (Request 117/507)
[2024-11-25T00:05:09.470+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0006_8620 (Request 118/507)
[2024-11-25T00:05:11.821+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0008_8620 (Request 119/507)
[2024-11-25T00:05:14.179+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0006_8620 (Request 120/507)
[2024-11-25T00:05:16.549+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0010_8620 (Request 121/507)
[2024-11-25T00:05:18.887+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0005_8620 (Request 122/507)
[2024-11-25T00:05:21.220+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0011_8620 (Request 123/507)
[2024-11-25T00:05:23.537+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0014_8620 (Request 124/507)
[2024-11-25T00:05:25.885+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0005_8620 (Request 125/507)
[2024-11-25T00:05:28.248+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0011_8620 (Request 126/507)
[2024-11-25T00:05:30.581+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0001_8620 (Request 127/507)
[2024-11-25T00:05:32.927+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0019_8620 (Request 128/507)
[2024-11-25T00:05:35.275+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0001_8620 (Request 129/507)
[2024-11-25T00:05:37.632+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0005_8620 (Request 130/507)
[2024-11-25T00:05:39.990+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0005_8620 (Request 131/507)
[2024-11-25T00:05:42.352+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0005_8620 (Request 132/507)
[2024-11-25T00:05:44.684+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0005_8620 (Request 133/507)
[2024-11-25T00:05:46.992+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0005_8620 (Request 134/507)
[2024-11-25T00:05:49.333+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0024_8620 (Request 135/507)
[2024-11-25T00:05:51.661+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0001_8620 (Request 136/507)
[2024-11-25T00:05:54.008+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0005_8620 (Request 137/507)
[2024-11-25T00:05:56.341+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0005_8620 (Request 138/507)
[2024-11-25T00:05:58.656+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0022_8620 (Request 139/507)
[2024-11-25T00:06:01.009+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0001_8620 (Request 140/507)
[2024-11-25T00:06:03.354+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0001_8620 (Request 141/507)
[2024-11-25T00:06:05.741+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0006_8620 (Request 142/507)
[2024-11-25T00:06:08.164+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0027_8620 (Request 143/507)
[2024-11-25T00:06:10.489+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0016_8620 (Request 144/507)
