[2024-11-26T05:23:56.011+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T05:23:56.065+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T05:23:53.853764+00:00 [queued]>
[2024-11-26T05:23:56.121+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T05:23:53.853764+00:00 [queued]>
[2024-11-26T05:23:56.122+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-26T05:23:56.181+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): extract_usa_spending_data_task> on 2024-11-26 05:23:53.853764+00:00
[2024-11-26T05:23:56.198+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ETL_usa_spending', 'extract_usa_spending_data_task', 'manual__2024-11-26T05:23:53.853764+00:00', '--job-id', '368', '--raw', '--subdir', 'DAGS_FOLDER/project_dag.py', '--cfg-path', '/tmp/tmp0x55uq5i']
[2024-11-26T05:23:56.209+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=12521) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-26T05:23:56.207+0000] {standard_task_runner.py:105} INFO - Job 368: Subtask extract_usa_spending_data_task
[2024-11-26T05:23:56.212+0000] {standard_task_runner.py:72} INFO - Started process 12523 to run task
[2024-11-26T05:23:56.314+0000] {task_command.py:467} INFO - Running <TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T05:23:53.853764+00:00 [running]> on host 6a246d8d590f
[2024-11-26T05:24:21.011+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-DC-72-0001_8620 (Request 7/507)
[2024-11-26T05:24:23.348+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-DC-72-0001_8620 (Request 8/507)
[2024-11-26T05:24:26.347+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-DC-72-0001_8620 (Request 9/507)
[2024-11-26T05:24:28.698+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-DC-72-0001_8620 (Request 10/507)
[2024-11-26T05:24:31.026+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-DF-72-0001_8620 (Request 11/507)
[2024-11-26T05:24:33.752+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-DW-72-0001_8620 (Request 12/507)
[2024-11-26T05:24:36.132+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-DI-72-0001_8620 (Request 13/507)
[2024-11-26T05:24:38.484+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-DC-72-0001_8620 (Request 14/507)
[2024-11-26T05:24:40.814+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-DC-72-0001_8620 (Request 15/507)
[2024-11-26T05:24:43.159+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-DC-72-0001_8620 (Request 16/507)
[2024-11-26T05:24:45.480+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-DC-72-0001_8620 (Request 17/507)
[2024-11-26T05:24:47.825+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-DC-72-0001_8620 (Request 18/507)
[2024-11-26T05:24:50.166+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-DC-72-0001_8620 (Request 19/507)
[2024-11-26T05:24:52.495+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-DC-72-0001_8620 (Request 20/507)
[2024-11-26T05:24:54.826+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-DC-72-0001_8620 (Request 21/507)
[2024-11-26T05:24:57.186+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-DC-72-0001_8620 (Request 22/507)
[2024-11-26T05:24:59.615+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-DC-72-0001_8620 (Request 23/507)
[2024-11-26T05:25:01.956+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-DC-72-0001_8620 (Request 24/507)
[2024-11-26T05:25:04.449+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-DC-72-0001_8620 (Request 25/507)
[2024-11-26T05:25:06.836+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-DC-72-0001_8620 (Request 26/507)
[2024-11-26T05:25:09.155+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-DN-72-0001_8620 (Request 27/507)
[2024-11-26T05:25:11.574+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0007_8620 (Request 28/507)
[2024-11-26T05:25:13.899+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0007_8620 (Request 29/507)
[2024-11-26T05:25:16.224+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0007_8620 (Request 30/507)
[2024-11-26T05:25:18.576+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0007_8620 (Request 31/507)
[2024-11-26T05:25:20.885+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-05-DJ-72-0001_8620 (Request 32/507)
[2024-11-26T05:25:23.215+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0007_8620 (Request 33/507)
[2024-11-26T05:25:25.575+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0007_8620 (Request 34/507)
[2024-11-26T05:25:27.913+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0007_8620 (Request 35/507)
[2024-11-26T05:25:30.616+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0007_8620 (Request 36/507)
[2024-11-26T05:25:32.957+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0007_8620 (Request 37/507)
[2024-11-26T05:25:35.278+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0007_8620 (Request 38/507)
[2024-11-26T05:25:37.620+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0007_8620 (Request 39/507)
[2024-11-26T05:25:39.960+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0007_8620 (Request 40/507)
[2024-11-26T05:25:42.293+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0007_8620 (Request 41/507)
[2024-11-26T05:25:44.639+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0007_8620 (Request 42/507)
[2024-11-26T05:25:46.962+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0007_8620 (Request 43/507)
[2024-11-26T05:25:49.311+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0007_8620 (Request 44/507)
[2024-11-26T05:25:51.647+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0007_8620 (Request 45/507)
[2024-11-26T05:25:53.967+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0007_8620 (Request 46/507)
[2024-11-26T05:25:56.316+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0003_8620 (Request 47/507)
[2024-11-26T05:25:58.657+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0003_8620 (Request 48/507)
[2024-11-26T05:26:00.968+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0004_8620 (Request 49/507)
[2024-11-26T05:26:03.376+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0003_8620 (Request 50/507)
[2024-11-26T05:26:06.640+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0003_8620 (Request 51/507)
[2024-11-26T05:26:08.978+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0004_8620 (Request 52/507)
[2024-11-26T05:26:11.309+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0005_8620 (Request 53/507)
[2024-11-26T05:26:13.633+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0003_8620 (Request 54/507)
[2024-11-26T05:26:15.974+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0004_8620 (Request 55/507)
[2024-11-26T05:26:18.289+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0004_8620 (Request 56/507)
[2024-11-26T05:26:21.940+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0005_8620 (Request 57/507)
[2024-11-26T05:26:24.273+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0004_8620 (Request 58/507)
[2024-11-26T05:26:26.597+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0001_8620 (Request 59/507)
[2024-11-26T05:26:28.942+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0005_8620 (Request 60/507)
[2024-11-26T05:26:31.314+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0005_8620 (Request 61/507)
[2024-11-26T05:26:33.662+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0001_8620 (Request 62/507)
[2024-11-26T05:26:36.015+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0005_8620 (Request 63/507)
[2024-11-26T05:26:38.353+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0001_8620 (Request 64/507)
[2024-11-26T05:26:40.671+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0001_8620 (Request 65/507)
[2024-11-26T05:26:43.010+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0002_8620 (Request 66/507)
[2024-11-26T05:26:45.344+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0002_8620 (Request 67/507)
[2024-11-26T05:26:47.675+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0009_8620 (Request 68/507)
[2024-11-26T05:26:50.036+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0003_8620 (Request 69/507)
[2024-11-26T05:26:52.368+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0001_8620 (Request 70/507)
[2024-11-26T05:26:54.705+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0009_8620 (Request 71/507)
[2024-11-26T05:26:57.020+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0002_8620 (Request 72/507)
[2024-11-26T05:26:59.375+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0002_8620 (Request 73/507)
[2024-11-26T05:27:01.708+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0003_8620 (Request 74/507)
[2024-11-26T05:27:04.047+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0009_8620 (Request 75/507)
[2024-11-26T05:27:06.388+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0008_8620 (Request 76/507)
[2024-11-26T05:27:08.855+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0009_8620 (Request 77/507)
[2024-11-26T05:27:11.167+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0004_8620 (Request 78/507)
[2024-11-26T05:27:13.493+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0003_8620 (Request 79/507)
[2024-11-26T05:27:15.865+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0002_8620 (Request 80/507)
[2024-11-26T05:27:18.263+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0004_8620 (Request 81/507)
[2024-11-26T05:27:20.625+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0003_8620 (Request 82/507)
[2024-11-26T05:27:22.958+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0003_8620 (Request 83/507)
[2024-11-26T05:27:25.331+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0003_8620 (Request 84/507)
[2024-11-26T05:27:27.649+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0003_8620 (Request 85/507)
[2024-11-26T05:27:29.993+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0005_8620 (Request 86/507)
[2024-11-26T05:27:32.309+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0003_8620 (Request 87/507)
[2024-11-26T05:27:34.642+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0003_8620 (Request 88/507)
[2024-11-26T05:27:36.976+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0004_8620 (Request 89/507)
[2024-11-26T05:27:39.315+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0003_8620 (Request 90/507)
[2024-11-26T05:27:41.641+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0004_8620 (Request 91/507)
[2024-11-26T05:27:43.968+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0003_8620 (Request 92/507)
[2024-11-26T05:27:46.292+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0003_8620 (Request 93/507)
[2024-11-26T05:27:48.609+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0003_8620 (Request 94/507)
[2024-11-26T05:27:50.936+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0004_8620 (Request 95/507)
[2024-11-26T05:27:53.300+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0008_8620 (Request 96/507)
[2024-11-26T05:27:55.629+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0017_8620 (Request 97/507)
[2024-11-26T05:27:57.970+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0011_8620 (Request 98/507)
[2024-11-26T05:28:00.311+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0004_8620 (Request 99/507)
[2024-11-26T05:28:02.643+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0004_8620 (Request 100/507)
[2024-11-26T05:28:04.997+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0004_8620 (Request 101/507)
[2024-11-26T05:28:07.326+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0004_8620 (Request 102/507)
[2024-11-26T05:28:09.675+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0004_8620 (Request 103/507)
[2024-11-26T05:28:12.017+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0005_8620 (Request 104/507)
[2024-11-26T05:28:14.368+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0004_8620 (Request 105/507)
[2024-11-26T05:28:16.698+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0004_8620 (Request 106/507)
[2024-11-26T05:28:19.020+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0004_8620 (Request 107/507)
[2024-11-26T05:28:21.344+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0008_8620 (Request 108/507)
[2024-11-26T05:28:23.671+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0008_8620 (Request 109/507)
[2024-11-26T05:28:26.056+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0014_8620 (Request 110/507)
[2024-11-26T05:28:28.371+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0006_8620 (Request 111/507)
[2024-11-26T05:28:30.697+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0020_8620 (Request 112/507)
[2024-11-26T05:28:33.031+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0013_8620 (Request 113/507)
[2024-11-26T05:28:35.368+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0011_8620 (Request 114/507)
[2024-11-26T05:28:37.692+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-12-MC-72-0001_8620 (Request 115/507)
[2024-11-26T05:28:40.031+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-15-MC-72-0005_8620 (Request 116/507)
[2024-11-26T05:28:42.440+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0005_8620 (Request 117/507)
[2024-11-26T05:28:44.809+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0006_8620 (Request 118/507)
[2024-11-26T05:28:47.144+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-11-MC-72-0008_8620 (Request 119/507)
[2024-11-26T05:28:49.492+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0006_8620 (Request 120/507)
[2024-11-26T05:28:51.822+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0010_8620 (Request 121/507)
[2024-11-26T05:28:52.172+0000] {usa_spending_extraction_script.py:128} ERROR - Error fetching data for award ID ASST_NON_B-13-MC-72-0010_8620: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')). Retry 1/3
[2024-11-26T05:28:56.173+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0010_8620 (Request 121/507)
[2024-11-26T05:28:56.504+0000] {usa_spending_extraction_script.py:128} ERROR - Error fetching data for award ID ASST_NON_B-13-MC-72-0010_8620: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')). Retry 2/3
[2024-11-26T05:29:00.505+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0010_8620 (Request 121/507)
[2024-11-26T05:29:02.845+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-18-MC-72-0005_8620 (Request 122/507)
[2024-11-26T05:29:05.191+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-09-MC-72-0011_8620 (Request 123/507)
[2024-11-26T05:29:07.510+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-10-MC-72-0014_8620 (Request 124/507)
[2024-11-26T05:29:09.873+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-16-MC-72-0005_8620 (Request 125/507)
[2024-11-26T05:29:12.199+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-08-MC-72-0011_8620 (Request 126/507)
[2024-11-26T05:29:14.528+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-14-MC-72-0001_8620 (Request 127/507)
[2024-11-26T05:29:16.909+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0019_8620 (Request 128/507)
[2024-11-26T05:29:19.256+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MW-72-0001_8620 (Request 129/507)
[2024-11-26T05:29:21.617+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-19-MC-72-0005_8620 (Request 130/507)
[2024-11-26T05:29:23.939+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-23-MC-72-0005_8620 (Request 131/507)
[2024-11-26T05:29:26.287+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-24-MC-72-0005_8620 (Request 132/507)
[2024-11-26T05:29:28.609+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-21-MC-72-0005_8620 (Request 133/507)
[2024-11-26T05:29:30.944+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-17-MC-72-0005_8620 (Request 134/507)
[2024-11-26T05:29:33.282+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0024_8620 (Request 135/507)
[2024-11-26T05:29:35.618+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0001_8620 (Request 136/507)
[2024-11-26T05:29:37.958+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-22-MC-72-0005_8620 (Request 137/507)
[2024-11-26T05:29:40.299+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-20-MC-72-0005_8620 (Request 138/507)
[2024-11-26T05:29:42.628+0000] {usa_spending_extraction_script.py:71} INFO - Fetching data for award ID: ASST_NON_B-13-MC-72-0022_8620 (Request 139/507)
