[2024-11-26T06:24:00.564+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-11-26T06:24:00.590+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T06:23:58.227933+00:00 [queued]>
[2024-11-26T06:24:00.603+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_usa_spending.extract_usa_spending_data_task manual__2024-11-26T06:23:58.227933+00:00 [queued]>
[2024-11-26T06:24:00.604+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-11-26T06:24:45.726+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-23-MC-72-0003_8620
[2024-11-26T06:24:46.110+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-17-MC-72-0003_8620
[2024-11-26T06:24:46.459+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-22-MC-72-0003_8620
[2024-11-26T06:24:46.890+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-MC-72-0004_8620
[2024-11-26T06:24:47.384+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0008_8620
[2024-11-26T06:24:47.772+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0017_8620
[2024-11-26T06:24:48.204+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0011_8620
[2024-11-26T06:24:48.600+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-21-MC-72-0004_8620
[2024-11-26T06:24:48.985+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-16-MC-72-0004_8620
[2024-11-26T06:24:49.322+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MC-72-0004_8620
[2024-11-26T06:24:49.662+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-MC-72-0004_8620
[2024-11-26T06:24:50.053+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-24-MC-72-0004_8620
[2024-11-26T06:24:50.477+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-14-MC-72-0005_8620
[2024-11-26T06:24:50.854+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-22-MC-72-0004_8620
[2024-11-26T06:24:51.254+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-17-MC-72-0004_8620
[2024-11-26T06:24:51.670+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-23-MC-72-0004_8620
[2024-11-26T06:24:52.012+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0008_8620
[2024-11-26T06:24:52.361+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0008_8620
[2024-11-26T06:24:52.727+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0014_8620
[2024-11-26T06:24:53.066+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0006_8620
[2024-11-26T06:24:53.398+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0020_8620
[2024-11-26T06:24:53.761+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0013_8620
[2024-11-26T06:24:54.102+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0011_8620
[2024-11-26T06:24:54.537+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-MC-72-0001_8620
[2024-11-26T06:24:55.088+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-15-MC-72-0005_8620
[2024-11-26T06:24:55.409+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MW-72-0005_8620
[2024-11-26T06:24:55.774+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0006_8620
[2024-11-26T06:24:56.123+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0008_8620
[2024-11-26T06:24:56.562+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0006_8620
[2024-11-26T06:24:56.929+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0010_8620
[2024-11-26T06:24:57.292+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-MC-72-0005_8620
[2024-11-26T06:24:57.628+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0011_8620
[2024-11-26T06:24:58.001+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0014_8620
[2024-11-26T06:24:58.361+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-16-MC-72-0005_8620
[2024-11-26T06:24:58.730+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0011_8620
[2024-11-26T06:24:59.072+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-14-MC-72-0001_8620
[2024-11-26T06:24:59.422+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0019_8620
[2024-11-26T06:24:59.781+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MW-72-0001_8620
[2024-11-26T06:25:00.133+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-MC-72-0005_8620
[2024-11-26T06:25:00.495+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-23-MC-72-0005_8620
[2024-11-26T06:25:00.828+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-24-MC-72-0005_8620
[2024-11-26T06:25:01.307+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-21-MC-72-0005_8620
[2024-11-26T06:25:01.940+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-17-MC-72-0005_8620
[2024-11-26T06:25:02.439+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0024_8620
[2024-11-26T06:25:03.114+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MC-72-0001_8620
[2024-11-26T06:25:03.612+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-22-MC-72-0005_8620
[2024-11-26T06:25:04.135+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-20-MC-72-0005_8620
[2024-11-26T06:25:04.695+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0022_8620
[2024-11-26T06:25:05.123+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-18-MC-72-0001_8620
[2024-11-26T06:25:05.493+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-21-MC-72-0001_8620
[2024-11-26T06:25:05.861+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0006_8620
[2024-11-26T06:25:06.247+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0027_8620
[2024-11-26T06:25:06.593+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0016_8620
[2024-11-26T06:25:07.213+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0014_8620
[2024-11-26T06:25:07.699+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0020_8620
[2024-11-26T06:25:08.058+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-22-MC-72-0001_8620
[2024-11-26T06:25:08.412+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-19-MC-72-0001_8620
[2024-11-26T06:25:10.610+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0014_8620
[2024-11-26T06:25:10.944+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0010_8620
[2024-11-26T06:25:11.309+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-23-MC-72-0001_8620
[2024-11-26T06:25:11.675+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-24-MC-72-0001_8620
[2024-11-26T06:25:12.038+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0013_8620
[2024-11-26T06:25:12.370+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0026_8620
[2024-11-26T06:25:12.748+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0017_8620
[2024-11-26T06:25:13.097+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-11-MC-72-0011_8620
[2024-11-26T06:25:13.441+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-MC-72-0002_8620
[2024-11-26T06:25:13.795+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-15-MC-72-0001_8620
[2024-11-26T06:25:14.232+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-16-MC-72-0001_8620
[2024-11-26T06:25:14.633+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-12-MC-72-0009_8620
[2024-11-26T06:25:15.318+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-13-MC-72-0023_8620
[2024-11-26T06:25:15.768+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0020_8620
[2024-11-26T06:25:16.394+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-17-MC-72-0001_8620
[2024-11-26T06:25:16.838+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-10-MC-72-0027_8620
[2024-11-26T06:25:17.219+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-09-MC-72-0010_8620
[2024-11-26T06:25:17.656+0000] {usa_spending_extraction_script.py:320} INFO - Fetching transactions for award_id: ASST_NON_B-08-MC-72-0020_8620
